
(31.10.2024 16:48 PM)
(3 amostras, de cada letra: W, S e L)
Erro inicial(ANTES DO TREINAMENTO): 7.429170899647493
MLP.js:366 Epoch 105, Erro total: 0.7868843068553242
MLP.js:366 Epoch 106, Erro total: 0.7716878331608568
MLP.js:366 Epoch 107, Erro total: 0.7569443864323573
MLP.js:366 Epoch 108, Erro total: 0.7426286887751561
MLP.js:366 Epoch 109, Erro total: 0.7287183190273198
MLP.js:366 Epoch 110, Erro total: 0.7151932953548034
MLP.js:366 Epoch 111, Erro total: 0.7020357243692692
MLP.js:366 Epoch 112, Erro total: 0.6892295030716636
MLP.js:366 Epoch 113, Erro total: 0.6767600630705355
MLP.js:366 Epoch 114, Erro total: 0.6646141490948818
MLP.js:366 Epoch 115, Erro total: 0.6527796259476052
MLP.js:366 Epoch 116, Erro total: 0.6412453097897938
MLP.js:366 Epoch 117, Erro total: 0.6300008210248121
MLP.js:366 Epoch 118, Erro total: 0.6190364570582979
MLP.js:366 Epoch 119, Erro total: 0.6083430838387748
MLP.js:366 Epoch 120, Erro total: 0.5979120453466799
MLP.js:366 Epoch 121, Erro total: 0.587735090144085
MLP.js:366 Epoch 122, Erro total: 0.5778043138073734
MLP.js:366 Epoch 123, Erro total: 0.5681121156532932
MLP.js:366 Epoch 124, Erro total: 0.5586511677572095
MLP.js:366 Epoch 125, Erro total: 0.5494143939586135
MLP.js:366 Epoch 126, Erro total: 0.5403949564254279
MLP.js:366 Epoch 127, Erro total: 0.5315862474308066
MLP.js:366 Epoch 128, Erro total: 0.5229818842635163
MLP.js:366 Epoch 129, Erro total: 0.5145757055910214
MLP.js:366 Epoch 130, Erro total: 0.5063617680525966
MLP.js:366 Epoch 131, Erro total: 0.49833434230994633
MLP.js:366 Epoch 132, Erro total: 0.49048790817251997
MLP.js:366 Epoch 133, Erro total: 0.48281714871380327
MLP.js:366 Epoch 134, Erro total: 0.475316943495
MLP.js:366 Epoch 135, Erro total: 0.46798236112230673
MLP.js:366 Epoch 136, Erro total: 0.46080865140206945
MLP.js:366 Epoch 137, Erro total: 0.45379123734663357
MLP.js:366 Epoch 138, Erro total: 0.4469257072435196
MLP.js:366 Epoch 139, Erro total: 0.4402078069483305
MLP.js:366 Epoch 140, Erro total: 0.43363343250924774
MLP.js:366 Epoch 141, Erro total: 0.42719862318490004
MLP.js:366 Epoch 142, Erro total: 0.4208995548810218
MLP.js:366 Epoch 143, Erro total: 0.4147325340050581
MLP.js:366 Epoch 144, Erro total: 0.40869399172077236
MLP.js:366 Epoch 145, Erro total: 0.40278047857516835
MLP.js:366 Epoch 146, Erro total: 0.3969886594657599
MLP.js:366 Epoch 147, Erro total: 0.3913153089156686
MLP.js:366 Epoch 148, Erro total: 0.3857573066257769
MLP.js:366 Epoch 149, Erro total: 0.3803116332761145
MLP.js:366 Epoch 150, Erro total: 0.3749753665521199
MLP.js:366 Epoch 151, Erro total: 0.3697456773748442
MLP.js:366 Epoch 152, Erro total: 0.36461982631735074
MLP.js:366 Epoch 153, Erro total: 0.35959516019231197
MLP.js:366 Epoch 154, Erro total: 0.3546691087981293
MLP.js:366 Epoch 155, Erro total: 0.3498391818127916
MLP.js:366 Epoch 156, Erro total: 0.34510296582618594
MLP.js:366 Epoch 157, Erro total: 0.3404581215027747
MLP.js:366 Epoch 158, Erro total: 0.33590238086746416
MLP.js:366 Epoch 159, Erro total: 0.33143354470823044
MLP.js:366 Epoch 160, Erro total: 0.3270494800896127
MLP.js:366 Epoch 161, Erro total: 0.32274811797165875
MLP.js:366 Epoch 162, Erro total: 0.3185274509292483
MLP.js:366 Epoch 163, Erro total: 0.3143855309670405
MLP.js:366 Epoch 164, Erro total: 0.31032046742554276
MLP.js:366 Epoch 165, Erro total: 0.3063304249740274
MLP.js:366 Epoch 166, Erro total: 0.3024136216862392
MLP.js:366 Epoch 167, Erro total: 0.2985683271950128
MLP.js:366 Epoch 168, Erro total: 0.2947928609221209
MLP.js:366 Epoch 169, Erro total: 0.29108559037982845
MLP.js:366 Epoch 170, Erro total: 0.28744492954080847
MLP.js:366 Epoch 171, Erro total: 0.2838693372732259
MLP.js:366 Epoch 172, Erro total: 0.2803573158379553
MLP.js:366 Epoch 173, Erro total: 0.2769074094450454
MLP.js:366 Epoch 174, Erro total: 0.27351820286668777
MLP.js:366 Epoch 175, Erro total: 0.2701883201040838
MLP.js:366 Epoch 176, Erro total: 0.2669164231057379
MLP.js:366 Epoch 177, Erro total: 0.2637012105348299
MLP.js:366 Epoch 178, Erro total: 0.2605414165834443
MLP.js:366 Epoch 179, Erro total: 0.25743580983154135
MLP.js:366 Epoch 180, Erro total: 0.25438319214867566
MLP.js:366 Epoch 181, Erro total: 0.2513823976365613
MLP.js:366 Epoch 182, Erro total: 0.24843229161069005
MLP.js:366 Epoch 183, Erro total: 0.2455317696192948
MLP.js:366 Epoch 184, Erro total: 0.24267975649804555
MLP.js:366 Epoch 185, Erro total: 0.23987520545894325
MLP.js:366 Epoch 186, Erro total: 0.23711709721195867
MLP.js:366 Epoch 187, Erro total: 0.23440443911803702
MLP.js:366 Epoch 188, Erro total: 0.23173626437215702
MLP.js:366 Epoch 189, Erro total: 0.22911163121520212
MLP.js:366 Epoch 190, Erro total: 0.22652962217346095
MLP.js:366 Epoch 191, Erro total: 0.22398934332463383
MLP.js:366 Epoch 192, Erro total: 0.22148992358927622
MLP.js:366 Epoch 193, Erro total: 0.2190305140466622
MLP.js:366 Epoch 194, Erro total: 0.2166102872741015
MLP.js:366 Epoch 195, Erro total: 0.21422843670878347
MLP.js:366 Epoch 196, Erro total: 0.21188417603127513
MLP.js:366 Epoch 197, Erro total: 0.2095767385698288
MLP.js:366 Epoch 198, Erro total: 0.2073053767247035
MLP.js:366 Epoch 199, Erro total: 0.20506936141173424
MLP.js:366 Epoch 200, Erro total: 0.20286798152442165
MLP.js:366 Epoch 201, Erro total: 0.20070054341384214
MLP.js:366 Epoch 202, Erro total: 0.198566370385715
MLP.js:366 Epoch 203, Erro total: 0.1964648022139864
MLP.js:366 Epoch 204, Erro total: 0.19439519467032132
MLP.js:366 Epoch 205, Erro total: 0.19235691906891864
MLP.js:366 Epoch 206, Erro total: 0.19034936182608891
MLP.js:366 Epoch 207, Erro total: 0.18837192403405975
MLP.js:366 Epoch 208, Erro total: 0.18642402104849307
MLP.js:366 Epoch 209, Erro total: 0.1845050820892213
MLP.js:366 Epoch 210, Erro total: 0.18261454985373057
MLP.js:366 Epoch 211, Erro total: 0.18075188014293245
MLP.js:366 Epoch 212, Erro total: 0.17891654149879452
MLP.js:366 Epoch 213, Erro total: 0.1771080148534046
MLP.js:366 Epoch 214, Erro total: 0.17532579318907046
